Time (UTC),Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation
2/29/2020 5:00,1.011499,1.850492821305725
2/29/2020 5:09,0.97554433,1.7300181980078426
2/29/2020 5:19,0.97015613,1.8755149867776388
2/29/2020 5:29,0.9575681,1.711165112096128
2/29/2020 5:39,0.9746749,1.8119028015799499
2/29/2020 5:49,0.96394694,1.537089748212676
2/29/2020 5:59,0.97435975,1.8230604224813567
2/29/2020 6:10,0.9645492,1.5578136649727152
2/29/2020 6:19,1.0102197,1.780971438495856
2/29/2020 6:29,0.9781817,1.7636140425475197
2/29/2020 6:39,0.99955034,1.6650237633026983
2/29/2020 6:49,1.0059277,3.9236670090033514
2/29/2020 6:59,1.0332248,1.6338579177250454
2/29/2020 7:09,0.98158157,1.4816632570451584
2/29/2020 7:20,0.9780875,1.7591537573755949
2/29/2020 7:29,1.0160924,1.9374430428967928
2/29/2020 7:39,1.0156982,2.0805664173553775
2/29/2020 7:49,1.0052726,1.6715951258686161
2/29/2020 7:59,1.0267985,2.0515546209194877
2/29/2020 8:09,1.035441,1.7774118360056115
2/29/2020 8:19,1.0511587,1.9825701662429551
2/29/2020 8:30,1.0612489,1.7928628115682577
2/29/2020 8:40,1.0031978,2.069249770538877
2/29/2020 8:49,0.9739364,1.6536038698667428
2/29/2020 8:59,1.0442214,2.107621890558532
2/29/2020 9:09,1.0326477,2.17653929251377
2/29/2020 9:19,1.0203296,1.7960793935283055
2/29/2020 9:29,1.0252044,1.7170477031906117
2/29/2020 9:40,0.9937401,1.707015844427156
2/29/2020 9:49,1.0204835,1.6169841759485128
2/29/2020 9:59,1.0239161,1.9817850304562556
2/29/2020 10:09,1.1016663,1.614686332612405
2/29/2020 10:19,1.0613096,1.7658256095581715
2/29/2020 10:29,1.0227915,1.7498394237930643
2/29/2020 10:39,1.0142714,4.340028072972482
2/29/2020 10:50,1.0509343,1.6360657780739343
2/29/2020 10:59,1.043922,1.7960188135123956
2/29/2020 11:09,0.9972777,1.8301891620567077
2/29/2020 11:19,1.0121307,1.6149796383002395
2/29/2020 11:29,1.0565857,2.0517139636632025
2/29/2020 11:39,1.0527067,1.9533833856277993
2/29/2020 11:49,1.0061924,1.931118032869522
2/29/2020 12:00,1.0214676,1.9356281963389248
2/29/2020 12:09,1.0126799,1.5203003920185783
2/29/2020 12:19,1.0359734,1.7723272170206916
2/29/2020 12:29,1.041958,2.915897275603147
2/29/2020 12:39,1.0522486,1.8157262576813338
2/29/2020 12:49,1.0177698,1.560940273300018
2/29/2020 12:59,0.99757224,1.8427931042502654
2/29/2020 13:10,1.0401539,1.8451841158883047
2/29/2020 13:20,1.0135615,1.686935051690721
2/29/2020 13:29,1.0285635,1.8724477028477908
2/29/2020 13:39,1.0273005,1.6236069476528865
2/29/2020 13:49,1.0415429,1.7613649991551625
2/29/2020 13:59,1.0254091,1.9412634831777442
2/29/2020 14:09,1.0241579,1.5517261033324585
2/29/2020 14:20,1.0609556,1.8795752680216868
2/29/2020 14:30,1.0594044,3.789958525324129
2/29/2020 14:39,1.0437515,1.8121180653900881
2/29/2020 14:49,1.0185916,1.754977298340039
2/29/2020 14:59,1.0025063,1.8704442505611933
2/29/2020 15:09,1.0302445,1.5638424426309065
2/29/2020 15:19,1.0604944,1.8559294890620055
2/29/2020 15:30,1.0166523,1.8647565165041584
2/29/2020 15:40,1.0383605,1.8966447999338012
2/29/2020 15:49,1.0657829,3.16505541275284
2/29/2020 16:09,1.0333538,3.9098363471683553
2/29/2020 16:19,1.0206048,1.7712208442034354
